name,salary,area_name,published_at
"Software Engineer for Windows applications, COM-components development",,Москва,2003-10-07T00:00:00+0400
Технический консультант.,12201.0,Санкт-Петербург,2003-09-19T14:42:13+0400
Специалист по технической поддержке - сопровождению,,Москва,2003-08-28T00:00:00+0400
"Менеджер по работе с партнерами, региональному развитию бизнеса",,Москва,2003-08-28T00:00:00+0400
Стажер отдела консалтинга и внедрения,,Москва,2003-08-28T00:00:00+0400
Программист-разработчик Delphi+Pl/SQL (Oracle),,Москва,2003-08-28T00:00:00+0400
Консультант по внедрению ERP-системы,,Москва,2003-08-28T00:00:00+0400
SAP R/3 functional consultant,,Москва,2003-01-24T21:30:49+0300
Account Manager,,Москва,2003-10-06T00:00:00+0400
IT Sales Manager,,Москва,2003-10-06T00:00:00+0400
Broadcast encryption engineer,63569.0,Южная Корея,2003-01-31T18:24:11+0300
Embedded OS engineering manager,63569.0,Москва,2003-01-31T18:25:43+0300
Начальник Управления автоматизации крупного банка (ТОР-30),122014.0,Москва,2003-09-09T00:00:00+0400
Coordinator on Intellectual Property Projects,,Москва,2003-02-12T10:40:50+0300
Outsourcing Projects Coordinator,,Москва,2003-02-14T16:31:06+0300
Software engineer  Project Leader,,Москва,2003-03-11T14:47:06+0300
Localization Project Coordinator,,Москва,2003-03-19T14:22:04+0300
Software engineer (Project Leader ),,Москва,2003-03-19T15:25:12+0300
Software engineer (Project Leader ),,Москва,2003-03-19T15:26:37+0300
Software engineer  (Project Leader),,Москва,2003-03-19T15:27:50+0300
Специалист (настройщик) модуля BASIS SAP R/3,91843.0,Москва,2003-10-06T00:00:00+0400
Менеджер по продвижению программных продуктов,31380.0,Москва,2003-04-01T18:28:37+0400
Технический писатель,9414.0,Москва,2003-04-01T18:35:22+0400
Key account manager  (продажа компьютерного оборудования),45755.0,Москва,2003-09-19T00:00:00+0400
Системный инженер,36737.0,Москва,2003-10-06T00:00:00+0400
"Project manager (ERP, SCM)",61007.0,Москва,2003-09-05T00:00:00+0400
Бизнес-аналитик,37323.0,Москва,2003-05-14T16:18:16+0400
Специалист по работе с неактивными запасами,,Москва,2003-05-21T17:45:08+0400
Аccount manager,91511.0,Москва,2003-09-10T00:00:00+0400
Менеджер по работес ключевывми клиентами,,Москва,2003-05-23T14:13:14+0400
Менеджер по продажам,,Москва,2003-10-06T00:00:00+0400
Консультант по внедрению Adaytum в крупную западную компанию.,,Москва,2003-05-26T12:57:36+0400
"Консультант по продажам в крупную западную консалтинговую компанию (внедрение ERP, EPP)",,Москва,2003-05-26T12:58:46+0400
Senior Marketing Manager (IT),,Москва,2003-05-26T17:27:49+0400
Менеджер по работе с клиентами,59890.0,Москва,2003-11-24T00:00:00+0300
Вице-президент по консалтингу,,Москва,2003-09-09T00:00:00+0400
Корреспондент-редактор медицинского интернет-портала,24403.0,Москва,2003-09-21T00:00:00+0400
Редактор медицинского портала,29739.0,Москва,2003-12-11T00:00:00+0300
Технический писатель,23956.0,Москва,2003-11-19T00:00:00+0300
Специалист по разработке программных продуктов,,Москва,2003-11-03T00:00:00+0300
Продакт-менеджер,153071.0,Москва,2003-10-21T00:00:00+0400
Руководитель представительства,33640.0,Челябинск,2003-08-28T00:00:00+0400
Sales representative,30504.0,Москва,2003-09-06T00:00:00+0400
Специалист по оптимизации товарных запасов,49134.0,Москва,2003-06-11T19:11:29+0400
Sales Manager (Oil and Gas),,Москва,2003-10-06T00:00:00+0400
Sales Manager,,Москва,2003-10-06T00:00:00+0400
Менеджер по комплектующим в ИТ,,Москва,2003-12-02T00:00:00+0300
